Rank,Name,Industry,Revenue (USD millions),Revenue growth (in %),Employees,Headquarters,City,State
1,Walmart,General merchandisers,572754,2.4,2300000,"Bentonville, Arkansas",Bentonville,Arkansas
82,Tyson Foods,Food Processing,47049,8.9,137000,"Springdale, Arkansas",Springdale,Arkansas
3,Apple,Electronics industry,365817,33.2,154000,"Cupertino, California",Cupertino,California
8,Alphabet,Technology,257637,41.2,156000,"Mountain View, California",Mountain View,California
16,Chevron Corporation,Petroleum industry,162465,71.6,42595,"San Ramon, California",San Ramon,California
27,Meta Platforms,Technology,117385,37.2,71970,"Menlo Park, California",Menlo Park,California
41,Wells Fargo,Financials,82407,2.6,247848,"San Francisco, California",San Francisco,California
46,Intel,Technology,79024,1.5,121100,"Santa Clara, California",Santa Clara,California
53,The Walt Disney Company,Media,67418,3.1,171000,"Burbank, California",Burbank,California
59,HP,Technology,63487,12.1,51000,"Palo Alto, California",Palo Alto,California
75,Cisco,Telecom Hardware Manufacturing,49818,1,79500,"San Jose, California",San Jose,California
13,Cigna,Health Insurance,174078,8.5,72963,"Bloomfield, Connecticut",Bloomfield,Connecticut
69,Charter Communications,Telecommunications,51682,7.5,93700,"Stamford, Connecticut",Stamford,Connecticut
33,Fannie Mae,Financials,101543,4.6,7400,"Washington, D.C.",Washington,D.C.
77,Publix,Retail,48394,7.1,232000,"Lakeland, Florida",Lakeland,Florida
17,The Home Depot,Retail,151157,14.4,490600,"Atlanta, Georgia",Atlanta,Georgia
34,United Parcel Service,Transportation,97287,15,400945,"Atlanta, Georgia",Atlanta,Georgia
95,Coca-Cola Company,Beverages,38655,17.1,79000,"Atlanta, Georgia",Atlanta,Georgia
52,Albertsons,Retail,69690,11.6,300000,"Boise, Idaho",Boise,Idaho
66,Allstate,Insurance,53228,18.8,54500,"Northfield Township, Cook County, Illinois",Northfield Township,Illinois
18,Walgreens Boots Alliance,Pharmaceutical industry,148579,6.5,258500,"Deerfield, Illinois",Deerfield,Illinois
38,Archer Daniels Midland,Food industry,85959,32.5,39979,"Chicago, Illinois",Chicago,Illinois
42,State Farm,Financials,82407,4.2,53586,"Bloomington, Illinois",Bloomington,Illinois
60,Boeing,Aerospace and defense,62286,7.1,142000,"Chicago, Illinois",Chicago,Illinois
63,AbbVie,Pharmaceutical industry,56197,22.7,50000,"Lake Bluff, Illinois",Lake Bluff,Illinois
74,Caterpillar,Machinery,50971,22.1,107700,"Deerfield, Illinois",Deerfield,Illinois
86,John Deere,Agriculture manufacturing,44024,23.9,75550,"Moline, Illinois",Moline,Illinois
88,Abbott Laboratories,Medical devices,43075,24.5,113000,"Chicago, Illinois",Chicago,Illinois
20,Elevance Health,Healthcare,138639,13.8,98200,"Indianapolis, Indiana",Indianapolis,Indiana
40,Humana,Health Insurance,83064,7.7,95500,"Louisville, Kentucky",Louisville,Kentucky
55,Lockheed Martin,Aerospace and Defense,67044,2.5,114000,"Bethesda, Maryland",Bethesda,Maryland
48,General Electric,Conglomerate,74196,6.8,168000,"Boston, Massachusetts",Boston,Massachusetts
58,Raytheon Technologies,Conglomerate,64388,13.8,174000,"Waltham, Massachusetts",Waltham,Massachusetts
73,Novartis,Pharmaceuticals,51332,6,110000,"Cambridge, Massachusetts",Cambridge,Massachusetts
76,TJX,Retail,48550,51.1,340000,"Framingham, Massachusetts",Framingham,Massachusetts
79,Liberty Mutual Group,Insurance,48200,10.1,45000,"Boston, Massachusetts",Boston,Massachusetts
94,Thermo Fisher Scientific,Laboratory instruments,39211,21.7,129000,"Waltham, Massachusetts",Waltham,Massachusetts
22,Ford Motor Company,Automotive industry,136341,7.2,183000,"Dearborn, Michigan",Dearborn,Michigan
25,General Motors,Automotive,127004,3.7,157000,"Detroit, Michigan",Detroit,Michigan
64,Dow Chemical Company,Chemical industry,54968,42.6,35700,"Midland, Michigan",Midland,Michigan
5,UnitedHealth Group,Healthcare,287597,11.8,350000,"Minnetonka, Minnesota",Minnetonka,Minnesota
32,Target Corporation,Retail,106005,13.3,450000,"Minneapolis, Minnesota",Minneapolis,Minnesota
68,Best Buy,Retail,51761,9.5,81375,"Richfield, Minnesota",Richfield,Minnesota
97,CHS,Agriculture cooperative,38448,1.4,9941,"Inver Grove Heights, Minnesota",Inver Grove Heights,Minnesota
26,Centene,Healthcare,125982,13.4,72500,"St. Louis, Missouri",St. Louis,Missouri
7,Berkshire Hathaway,Conglomerate,276094,12.5,372000,"Omaha, Nebraska",Omaha,Nebraska
37,Johnson & Johnson,Pharmaceutical industry,93775,13.6,141700,"New Brunswick, New Jersey",New Brunswick,New Jersey
51,Prudential Financial,Financials,70934,24.4,40916,"Newark, New Jersey",Newark,New Jersey
71,Merck & Co.,Pharmaceutical industry,51216,6.7,67500,"Kenilworth, New Jersey",Kenilworth,New Jersey
23,Verizon Communications,Telecommunications,133613,4.1,118400,"New York City, New York",New York City,New York
24,JPMorgan Chase,Financial services,127202,1.8,271025,"New York City, New York",New York City,New York
43,Pfizer,Pharmaceutical industry,81288,94,79000,"New York City, New York",New York City,New York
44,Citigroup,Financials,79865,10.1,221768,"New York City, New York",New York City,New York
45,PepsiCo,Beverage,79474,12.9,309000,"Purchase, New York",Purchase,New York
49,IBM,Technology,72344,1.7,297800,"Armonk, New York",Armonk,New York
50,MetLife,Financials,71080,4.8,43000,"New York City, New York",New York City,New York
57,Goldman Sachs,Financials,64989,2.7,43900,"New York City, New York",New York City,New York
61,Morgan Stanley,Financials,61121,17.4,74814,"New York City, New York",New York City,New York
67,AIG,Insurance,52057,19,36600,"New York City, New York",New York City,New York
72,New York Life Insurance Company,Insurance,51199,9.6,13344,"New York City, New York",New York City,New York
83,Bristol-Myers Squibb,Pharmaceutical industry,46385,9.1,32200,"New York City, New York",New York City,New York
87,American Express,Financial,43663,14.3,64000,"New York City, New York",New York City,New York
89,StoneX Group,Financials,42534,21.4,3242,"New York City, New York",New York City,New York
92,TIAA,Insurance,40526,2.6,15065,"New York City, New York",New York City,New York
35,Lowe's,Retail,96250,7.4,270000,"Mooresville, North Carolina",Mooresville,North Carolina
36,Bank of America,Financials,93851,0.1,208248,"Charlotte, North Carolina",Charlotte,North Carolina
100,Nucor,Metals,36484,81.2,28800,"Charlotte, North Carolina",Charlotte,North Carolina
15,Cardinal Health,Healthcare,162467,6.2,46827,"Dublin, Ohio",Dublin,Ohio
19,Marathon Petroleum,Petroleum industry,141032,58.5,17700,"Findlay, Ohio",Findlay,Ohio
21,Kroger,Retail,137888,4.1,420000,"Cincinnati, Ohio",Cincinnati,Ohio
47,Procter & Gamble,Consumer products Manufacturing,76118,7.3,101000,"Cincinnati, Ohio",Cincinnati,Ohio
80,Progressive Corporation,Insurance,47702,11.8,49077,"Mayfield Village, Ohio",Mayfield Village,Ohio
81,Nationwide Mutual Insurance Company,Financial,47376,13,24134,"Columbus, Ohio",Columbus,Ohio
85,Nike,Apparel,44538,19.1,73300,"Beaverton, Oregon",Beaverton,Oregon
10,AmerisourceBergen,Pharmaceutical industry,213989,12.7,40000,"Chesterbrook, Pennsylvania",Chesterbrook,Pennsylvania
28,Comcast,Telecommunications,116385,12.4,189000,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania
84,GSK plc,Pharmaceuticals,44700,3,97000,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania
4,CVS Health,Healthcare,292111,32,258000,"Woonsocket, Rhode Island",Woonsocket,Rhode Island
39,FedEx,Transportation,83959,21.3,484000,"Memphis, Tennessee",Memphis,Tennessee
62,HCA Healthcare,Healthcare,58752,14,244000,"Nashville, Tennessee",Nashville,Tennessee
6,Exxon Mobil,Petroleum industry,285640,57.4,63000,"Spring, Texas",Spring,Texas
9,McKesson Corporation,Health,238228,3.1,67500,"Irving, Texas",Irving,Texas
14,AT&T,Conglomerate,168864,1.7,202600,"Dallas, Texas",Dallas,Texas
29,Phillips 66,Petroleum industry,114852,75.4,14000,"Houston, Texas",Houston,Texas
30,Valero Energy,Petroleum industry,108332,80.2,9804,"San Antonio, Texas",San Antonio,Texas
31,Dell Technologies,Technology,106995,13.6,133000,"Round Rock, Texas",Round Rock,Texas
54,Energy Transfer Partners,Petroleum industry,67418,73.1,12558,"Dallas, Texas",Dallas,Texas
65,Tesla,Automotive and Energy,53823,70.7,99290,"Austin, Texas",Austin,Texas
70,Sysco,Food Service,51298,3,57710,"Houston, Texas",Houston,Texas
78,ConocoPhillips,Petroleum industry,48349,151.1,9900,"Houston, Texas",Houston,Texas
90,Plains All American Pipeline,Petroleum industry,42078,80.7,4100,"Houston, Texas",Houston,Texas
91,Enterprise Products,Petroleum industry,40807,50,6911,"Houston, Texas",Houston,Texas
93,Oracle Corporation,Software,40479,3.6,132000,"Austin, Texas",Austin,Texas
98,USAA,Financials,37470,3.2,37335,"San Antonio, Texas",San Antonio,Texas
56,Freddie Mac,Financials,65898,0.5,7301,"McLean, Virginia",McLean,Virginia
96,General Dynamics,Airspace and defense,38469,8.7,103100,"Reston, Virginia",Reston,Virginia
2,Amazon,Retail and Cloud Computing,469822,21.7,1608000,"Seattle, Washington",Seattle,Washington
11,Microsoft,Technology,198087,17.5,181000,"Redmond, Washington",Redmond,Washington
12,Costco,Retail,195929,17.5,288000,"Issaquah, Washington",Issaquah,Washington
